cmtename,cmteid,other_id,name,similarity,party,state,chamber,type,last,cycle
RYAN FOR CONGRESS,C00330894,C00410969,Peter Roskam,0.624850883,R,Ill.,House,,Roskam,2014
RYAN FOR CONGRESS,C00330894,C00312017,Ron Kind,0.604470204,D,Wis.,House,,Kind,2014
RYAN FOR CONGRESS,C00330894,C00347476,Dave Camp,0.60218992,R,Mich.,House,,Camp,2014
RYAN FOR CONGRESS,C00330894,C00347492,Pat Tiberi,0.586851815,R,Ohio,House,,Tiberi,2014
RYAN FOR CONGRESS,C00330894,C00226522,Richard E. Neal,0.586514293,R,Mass.,House,,Neal,2014
RYAN FOR CONGRESS,C00330894,C00386755,Tom Price,0.571618784,R,Ga.,House,,"Price, T",2014
RYAN FOR CONGRESS,C00330894,C00437756,Aaron Schock,0.565891685,R,Ill.,House,,Schock,2014
RYAN FOR CONGRESS,C00330894,C00472878,Diane Black,0.560614463,R,Tenn.,House,,Black,2014
RYAN FOR CONGRESS,C00330894,C00420935,Kevin McCarthy,0.558674087,R,Calif.,House,leader,"McCarthy, K",2014
RYAN FOR CONGRESS,C00330894,C00338954,Joe Crowley,0.55775264,D,N.Y.,House,,Crowley,2014
RYAN FOR CONGRESS,C00330894,C00311043,Kevin Brady,0.556395472,R,Texas,House,,Brady,2014
RYAN FOR CONGRESS,C00330894,C00464032,Tom Reed,0.554224681,R,N.Y.,House,,Reed,2014
RYAN FOR CONGRESS,C00330894,C00394866,Charles Boustany,0.553771288,R,La.,House,,Boustany,2014
RYAN FOR CONGRESS,C00330894,C00439661,Erik Paulsen,0.55337918,R,Minn.,House,,Paulsen,2014
RYAN FOR CONGRESS,C00330894,C00237198,John Boehner,0.542863477,R,Ohio,House,leader,Boehner,2014
RYAN FOR CONGRESS,C00330894,C00370056,Devin Nunes,0.537815347,R,Calif.,House,,Nunes,2014
RYAN FOR CONGRESS,C00330894,C00464339,Sean Duffy,0.532602787,R,Wis.,House,,Duffy,2014
RYAN FOR CONGRESS,C00330894,C00355461,Eric Cantor,0.529915295,R,Va.,House,leader,Cantor,2014
RYAN FOR CONGRESS,C00330894,C00255562,Jim Clyburn,0.522850937,D,S.C.,House,leader,Clyburn,2014
RYAN FOR CONGRESS,C00330894,C00140715,Steny Hoyer,0.519760026,D,Md.,House,leader,Hoyer,2014
RYAN FOR CONGRESS,C00330894,C00333427,Greg Walden,0.501894614,R,Ore.,House,leader,Walden,2014
RYAN FOR CONGRESS,C00330894,C00330142,John Larson,0.499851693,D,Conn.,House,leader,Larson,2014
RYAN FOR CONGRESS,C00330894,C00344721,Jim Matheson,0.498123036,D,Utah,House,,Matheson,2014
RYAN FOR CONGRESS,C00330894,C00433730,Lynn Jenkins,0.486935032,R,Kansas,House,,Jenkins,2014
RYAN FOR CONGRESS,C00330894,C00303305,Pete Sessions,0.485126059,R,Texas,House,,Sessions,2014
RYAN FOR CONGRESS,C00330894,C00459255,Todd Young,0.484663353,R,Ind.,House,,"Young, T",2014
RYAN FOR CONGRESS,C00330894,C00200584,Fred Upton,0.48244222,R,Mich.,House,,Upton,2014
RYAN FOR CONGRESS,C00330894,C00390476,Cathy McMorris Rodgers,0.481726694,R,Wash.,House,leader,McMorris,2014
RYAN FOR CONGRESS,C00330894,C00466359,Jim Renacci,0.479467176,R,Ohio,House,,Renacci,2014
RYAN FOR CONGRESS,C00330894,C00441352,Steve Stivers,0.474934589,R,Ohio,House,,Stivers,2014
RYAN FOR CONGRESS,C00330894,C00376939,Marsha Blackburn,0.472244035,R,Tenn.,House,,Blackburn,2014
RYAN FOR CONGRESS,C00330894,C00460899,John Carney,0.467056291,D,Del.,House,,Carney,2014
RYAN FOR CONGRESS,C00330894,C00384735,John Barrow,0.465804074,D,Ga.,House,,Barrow,2014
RYAN FOR CONGRESS,C00330894,C00372102,Jim Gerlach,0.465214272,R,Pa.,House,,Gerlach,2014
RYAN FOR CONGRESS,C00330894,C00264101,Xavier Becerra,0.465182031,D,Calif.,House,,Becerra,2014
RYAN FOR CONGRESS,C00330894,C00258855,John Shimkus,0.459743458,R,Ill.,House,,Shimkus,2014
RYAN FOR CONGRESS,C00330894,C00326629,John Kline,0.459128867,R,Minn.,House,,Kline,2014
RYAN FOR CONGRESS,C00330894,C00326363,Mike Thompson,0.457806209,D,Calif.,House,,"Thompson, M",2014
RYAN FOR CONGRESS,C00330894,C00343863,Mike Rogers,0.455313979,R,Mich.,House,,"Rogers, Mike",2014
RYAN FOR CONGRESS,C00330894,C00495846,Ann Wagner,0.454670288,R,Mo.,House,,Wagner,2014
RYAN FOR CONGRESS,C00330894,C00394957,Steve Scalise,0.453645092,R,La.,House,,Scalise,2014
RYAN FOR CONGRESS,C00330894,C00250720,Sam Johnson,0.452326867,R,Texas,House,,"Johnson, Sam",2014
RYAN FOR CONGRESS,C00330894,C00471896,Renee Ellmers,0.451618185,R,N.C.,House,,Ellmers,2014
RYAN FOR CONGRESS,C00330894,C00370650,Jeb Hensarling,0.450686497,R,Texas,House,,Hensarling,2014
RYAN FOR CONGRESS,C00330894,C00289983,Edward Whitfield,0.450121767,R,Ky.,House,,Whitfield,2014
RYAN FOR CONGRESS,C00330894,C00393348,Kenny Marchant,0.449736961,R,Texas,House,,Marchant,2014
RYAN FOR CONGRESS,C00330894,C00445023,Brett Guthrie,0.446552648,R,Ky.,House,,Guthrie,2014
RYAN FOR CONGRESS,C00330894,C00397737,Dave Reichert,0.446043018,R,Wash.,House,,Reichert,2014
RYAN FOR CONGRESS,C00330894,C00466870,Pat Meehan,0.434755507,R,Pa.,House,,Meehan,2014
RYAN FOR CONGRESS,C00330894,C00412890,Adrian Smith,0.434291077,R,Neb.,House,,"Smith, A",2014
RYAN FOR CONGRESS,C00330894,C00459461,Dennis Ross,0.434264872,R,Fla.,House,,Ross,2014
RYAN FOR CONGRESS,C00330894,C00458877,Adam Kinzinger,0.433640513,R,Ill.,House,,Kinzinger,2014
RYAN FOR CONGRESS,C00330894,C00393629,Patrick McHenry,0.431076788,R,N.C.,House,,McHenry,2014
RYAN FOR CONGRESS,C00330894,C00434191,Jim Himes,0.430529639,D,Conn.,House,,Himes,2014
RYAN FOR CONGRESS,C00330894,C00474189,Mike Kelly,0.426836373,R,Pa.,House,,"Kelly, M",2014
RYAN FOR CONGRESS,C00330894,C00467522,Randy Hultgren,0.421793023,R,Ill.,House,,Hultgren,2014
RYAN FOR CONGRESS,C00330894,C00467571,Andy Barr,0.420602474,R,Ky.,House,,Barr,2014
